Altitude (ft),Altitude (m),Pressure_(hPa),O2 %,Saturation_%,Standard TUC,Rapid Decompression TUC
0,0,198,20.9,98,Unlimited,Unlimited
5000,1524,162,16.1,93,Unlimited,Unlimited
10000,3048,132,13.1,90,Unlimited,Unlimited
15000,4572,106,10.5,77,Hours,Hours
18000,5486,93,9.2,70,20-30 min,10-15 min
22000,6706,76,7.5,65,10 min,5-6 min
25000,7620,65,6.5,60,3-5 min,1.5-2.5 min
28000,8534,56,5.5,55,2.5-3 min,1-1.5 min
30000,9144,49,4.9,50,1-2 min,0.5-1 min
35000,10668,37,3.6,45,0.5-1 min,0-15 s
